,type,title,fuction,img
462,조,황미찰,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lviLWUDqdt0odd5gsFfWhdbs3fCBe83GYJtr@G9Xgc/x4!
463,감자,대광,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvq5AXn0ZF5nditzRitfGfQc3fCBe83GYJtr@G9Xgc/x4!
464,감자,남선,가공적성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvch@xXqJM/F@c@CkRtTdhN83fCBe83GYJtr@G9Xgc/x4!
465,글라디올러스,버터플라이,화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvoBbJAfkIu/xTEBqe/kMsY83fCBe83GYJtr@G9Xgc/x4!
466,느타리,백황,"다수량성, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvq5Q1kDDPgjlkRXUgFicj6c3fCBe83GYJtr@G9Xgc/x4!
467,트리티케일(라이밀),신성,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvfXQGV0atIWQntu8inZ3hac3fCBe83GYJtr@G9Xgc/x4!
468,포도,샤이니스타(Shiny Star),"식미, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvf3IXm@BKAx7q6bIWIpaIB83fCBe83GYJtr@G9Xgc/x4!
469,상추,삼복하청,식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvjAz8rVrjz5xEs4gGk30b583fCBe83GYJtr@G9Xgc/x4!
470,느타리,솔타리(Soltari),"고품질, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvAmzaZ3XIGLd4ooEIdWYZ@s3fCBe83GYJtr@G9Xgc/x4!
471,단감,원추(Wonchu),"식미, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvEflaJW0zhmW3XnERDlAyOs3fCBe83GYJtr@G9Xgc/x4!
472,일반벼,상보,"식미, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv0HYJur9OhdpnZsVw9IlCC83fCBe83GYJtr@G9Xgc/x4!
473,뽕나무,심강,"건강기능성, 다수량성, 재배안정성",http://www.nongsaro.go.kr/ps/img/common/anvil_img.jpg
474,글라디올러스,핑크립,화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv6PEY3a6g/n@jlD4tI2pB9c3fCBe83GYJtr@G9Xgc/x4!
475,느타리,에르고,건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv4@ydzyBbjG7/q4O9BrSYx83fCBe83GYJtr@G9Xgc/x4!
476,감귤,제라몬,식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvjZqR2DaWFu@AKD0anhhDbs3fCBe83GYJtr@G9Xgc/x4!
477,인삼,천명,"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvkLGsdgFWneWbwoqk1rX9I83fCBe83GYJtr@G9Xgc/x4!
478,카네이션,퍼플뷰티,심미성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvb3iAbKKWqFB32g59UeInm83fCBe83GYJtr@G9Xgc/x4!
479,카네이션,그린뷰티,조숙성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvbcFDqrS3u0zBMyalcJ1J0M3fCBe83GYJtr@G9Xgc/x4!
480,백합(나리),트로피컬핑크,화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvrUeHsY9Vyp@Poe9y4vylj83fCBe83GYJtr@G9Xgc/x4!
481,네트멜론,한마음,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv83UwJ6FWUMVhBEF5D8YEts3fCBe83GYJtr@G9Xgc/x4!
482,복숭아,설홍(Seolhong),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvbSL0ht5DTVAJnTxS/nPf0c3fCBe83GYJtr@G9Xgc/x4!
483,일반벼,중모1042(Jungmo1042),"가공적성, 재배안정성, 준조생, 양조용",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvSOG/hRjOphef884TOTA@IM3fCBe83GYJtr@G9Xgc/x4!
484,일반벼,백일미(Baegilmi),"극조생, 식미, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvLm/iKu1ppsxb@scuDdwjKc3fCBe83GYJtr@G9Xgc/x4!
485,마늘,홍산,"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv5KZ5UMArhZIqmfKWON35MM3fCBe83GYJtr@G9Xgc/x4!
486,마늘,한산,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvwvet7qbGbTQpdXqTu@mTlc3fCBe83GYJtr@G9Xgc/x4!
487,"참다래(키위,다래)",델리웅,"재배안정성, 조기 개화",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvNSyJRNsYRocpOYscNBgSFs3fCBe83GYJtr@G9Xgc/x4!
488,톨페스큐,그린마스터3호,"중생종, 내병성, 재생력우수",https://www.nongsaro.go.kr/ps/img/cmmImg_2020/common/no_img.jpg
489,이탈리안라이그라스,그린팜3호,극조생종,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvTUL8K4kz2t@qVtmj@VkPj83fCBe83GYJtr@G9Xgc/x4!
490,톨페스큐,그린마스터2호,"다수량성, 중생종, 내병성, 영속성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvlvqtQYu1bv9s8dovrzt10M3fCBe83GYJtr@G9Xgc/x4!
491,용담,다봉,"화색, 화형",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvv/9R85JRl3Y6/0qyg28Muc3fCBe83GYJtr@G9Xgc/x4!
492,포인세티아,레드락,소비자 선호 형질,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv4fJ7AV8eBva@olp6wYJzdM3fCBe83GYJtr@G9Xgc/x4!
493,백합(나리),파핑오렌지,화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv5Z5RZFYEYWW81ImPxVrZZM3fCBe83GYJtr@G9Xgc/x4!
494,백합(나리),티닝그린,화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lviCB662pWWBcWuZvw3XWMbc3fCBe83GYJtr@G9Xgc/x4!
495,심비디움,옐로스마일(Yellow Smile),개화성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvqTQH@TVR53Xt1sVVVm4WPc3fCBe83GYJtr@G9Xgc/x4!
496,심비디움,웨딩파티(Wedding Party),개화성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvOvZEQH@wYm70H3gPLXq@uc3fCBe83GYJtr@G9Xgc/x4!
497,심비디움,써니루비(Sunny Ruby),다화성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvvBpVzdVOVf4cdAUBxbwTQs3fCBe83GYJtr@G9Xgc/x4!
498,심비디움,꽃가람(Ggotgaram),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvESx@tFjl02TKMss5YLbKkc3fCBe83GYJtr@G9Xgc/x4!
499,칼라,퓨어러브,화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvJdK49qY@4B6DxFIVVPSnpc3fCBe83GYJtr@G9Xgc/x4!
500,팔레높시스(호접란),핑크레이디,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvLug6O3Pxnh6kGw0fQ1qsYc3fCBe83GYJtr@G9Xgc/x4!
501,팔레높시스(호접란),선샤인,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvP5Bg0laN8clK@PG8mLUWc83fCBe83GYJtr@G9Xgc/x4!
502,포인세티아,마블벨,마블 무늬,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvP@wr1C2qQURh1cyr9NMIVM3fCBe83GYJtr@G9Xgc/x4!
503,네트멜론,그린파워,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvPvX11E3OE@f3PleIXZ1aTc3fCBe83GYJtr@G9Xgc/x4!
504,일반벼,아세미1호(Asemi1),"광지역성, 열대자포니카 적응, 식미, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvw25AIX8LqDVfylY//NVcLs3fCBe83GYJtr@G9Xgc/x4!
505,일반벼,해담쌀,"식미, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvQgXbSjfTPN/xmfwVAglWBc3fCBe83GYJtr@G9Xgc/x4!
506,일반벼,선품(Seonpum),"내도복성, 식미, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv9sm74UCeWyt@AKIVOqWuq83fCBe83GYJtr@G9Xgc/x4!
507,일반벼,영보,식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvTDZO0xoPwQEHZGSDpFXC/s3fCBe83GYJtr@G9Xgc/x4!
508,일반벼,안백,내병성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvym/86EZre8BSG42ArMWGyc3fCBe83GYJtr@G9Xgc/x4!
509,일반벼,만백,내병성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvjoP8G47tKB0ASh2BjmPkJ83fCBe83GYJtr@G9Xgc/x4!
510,일반벼,운일찰,"가공적성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv8eR1xRrJtlQ5s3ZYO3YO283fCBe83GYJtr@G9Xgc/x4!
511,일반벼,중모1039호,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvdsC9b@GtxuvWD9WGjAJkwc3fCBe83GYJtr@G9Xgc/x4!
512,일반벼,중모1043,"식미, 향미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv6/P2cgsF2NZn1HKDZDDLU83fCBe83GYJtr@G9Xgc/x4!
513,일반벼,중모1041,내병성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvTk/LqXeK4drfT42chkhtP83fCBe83GYJtr@G9Xgc/x4!
514,일반벼,중모1040(Jungmo1040),"식미, 재배안정성, 중만생, 소비적성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvYGOWpHj11LoJDeMf@xAFF83fCBe83GYJtr@G9Xgc/x4!
515,일반벼,녹우,다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvYbw3ZbgQCyWywCPP8AlPz83fCBe83GYJtr@G9Xgc/x4!
516,밀,조중,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvpHNGWUFPSR83gyn4XWCjd83fCBe83GYJtr@G9Xgc/x4!
517,호밀,중모2509,자가화합성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv04ohk/iULjsdtkzBWvSth83fCBe83GYJtr@G9Xgc/x4!
518,장류용콩,대풍2호,"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv9/dRU4D7RTb11QfR/BdWgc3fCBe83GYJtr@G9Xgc/x4!
519,네트멜론,원예2606,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv69KmhmJy9o@RN882m3EJUs3fCBe83GYJtr@G9Xgc/x4!
520,쌀보리,흑광,"가공적성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvVrRXz1ZMCPzHAADdkbeBXc3fCBe83GYJtr@G9Xgc/x4!
521,기장,금실찰,다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvgo73BhTb/94VCT4DexQrhM3fCBe83GYJtr@G9Xgc/x4!
522,떫은감,허니몬,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvpxrhI6Bt2h2arKYy@3Lhnm6RR9Wmr7jJqS@BQTwbe2s!
523,단감,원미,식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvMuTHHjaLShOpwlzLID1IdM3fCBe83GYJtr@G9Xgc/x4!
524,사과,썸머프린스,극조생,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvGS4z3CV9GZ8OxqCJxNmpLc3fCBe83GYJtr@G9Xgc/x4!
525,겉보리,청명,가공적성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvCEecjm3VqNqp03yssCeYNs3fCBe83GYJtr@G9Xgc/x4!
526,겉보리,흑수정찰,"가공적성, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv433HusNDVvYkKLCYbQkGRM3fCBe83GYJtr@G9Xgc/x4!
527,겉보리,다이안,"가공적성, 다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv9o5XyTB0tyxm6U0p8tmE2c3fCBe83GYJtr@G9Xgc/x4!
528,겉보리,흑호,가공적성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvJgT@UltuqjVgi/17rm16t83fCBe83GYJtr@G9Xgc/x4!
529,일반고구마,풍원미,"건강기능성, 다수량성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv3Z00dufmwSXGnYp3upYYds3fCBe83GYJtr@G9Xgc/x4!
530,일반벼,중모1044,다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvLJ6Z8UKJWeWN8wYBKq@Mgs3fCBe83GYJtr@G9Xgc/x4!
531,유채,중모7003,재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvwmHc2u9Y7k17NPYhsca/Ac3fCBe83GYJtr@G9Xgc/x4!
532,유채,조안,다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv39wEqbXbuMsVKIkRfT/qoc3fCBe83GYJtr@G9Xgc/x4!
533,딸기,장하,"가공적성, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvjBsTuPBUEZqC2ww4ZYQgHc3fCBe83GYJtr@G9Xgc/x4!
534,양파,원예30012,다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvtB8BunLWmDTl8P9O2olXTs3fCBe83GYJtr@G9Xgc/x4!
535,양파,화이트원,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvf/w@8Lv@s2yOKGjY2XQaj83fCBe83GYJtr@G9Xgc/x4!
536,양파,원예30011,다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv5RBg6ynUPwzvYQEd6te7hM3fCBe83GYJtr@G9Xgc/x4!
537,대파,원예27004,외대파,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvQc6SsOZ9R0btRPmm@iyS@83fCBe83GYJtr@G9Xgc/x4!
538,참깨,중모5006,"가공적성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvktPrIXihDiv0j6I@LSOQ2c3fCBe83GYJtr@G9Xgc/x4!
539,참깨,진율,"가공적성, 다수량성, 재배안정성",https://www.nongsaro.go.kr/ps/img/cmmImg_2020/common/no_img.jpg
540,참깨,강안,"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvgIXQrttOLQzOU9umVzhZis3fCBe83GYJtr@G9Xgc/x4!
541,참깨,중모5007,"가공적성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvBWfCd0zAGBd58K90Y033Oc3fCBe83GYJtr@G9Xgc/x4!
542,오렌지,하양조생,식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvHMr6/54/B70UuSsbnx4xZ83fCBe83GYJtr@G9Xgc/x4!
543,오렌지,무봉,건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvjhKH2a/SOz@QUSyLq2mZNs3fCBe83GYJtr@G9Xgc/x4!
544,감초,신원감,다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvlbA5@ScDUSu9LH6ylIYSfs3fCBe83GYJtr@G9Xgc/x4!
545,지황,다황,다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv2BYR2u92PZ7FpGLUde3BsM3fCBe83GYJtr@G9Xgc/x4!
546,스프레이,에스핑크,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvpN4OB1s2/M@Tieag3se/LW6RR9Wmr7jJqS@BQTwbe2s!
547,스프레이,에이핑크,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvUxazyg51XrtjvDQpFyvYFW6RR9Wmr7jJqS@BQTwbe2s!
548,스프레이,레드 스퀘어,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvV2uKpohLqadCu90vnnIT0m6RR9Wmr7jJqS@BQTwbe2s!
549,스프레이,미샤,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvkZts/2qFD@6MeWAAqC7fe26RR9Wmr7jJqS@BQTwbe2s!
550,스프레이,핑크홀,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvxqiLvpj1qP0B3WyFnSDJkzILc6Q0NSGIARtJs0zgtfw!
551,스탠다드,스윙블루,,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvZLUNxmpND70EwBqH2JiwsjILc6Q0NSGIARtJs0zgtfw!
552,글라디올러스,레드앤젤,화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvkMV0LvgF4/zivZrMhCsG0s3fCBe83GYJtr@G9Xgc/x4!
553,글라디올러스,핑크버드,화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv0B4TXOVYXMbZR6M5dBWt6s3fCBe83GYJtr@G9Xgc/x4!
